nKeypointsMaxUser;image_width;parallelismLevel;AspectRatioDenominator;delayRead;delayDisplay;NumeratorFrequency;imgDouble;Schedulability;Energy;Latency;DurationII;Memory;AskedCuts;AskedPrecuts
90;320;4;9;0;0;4;0;true;22220942;1;6900786;14400;0;0
100;320;4;9;0;0;4;0;true;22325342;1;6935436;14400;0;0
110;320;4;9;0;0;4;0;true;22394942;1;6958536;14400;0;0
120;320;4;9;0;0;4;0;true;22499342;1;6993186;14400;0;0
130;320;4;9;0;0;4;0;true;22568942;1;7016286;14400;0;0
140;320;4;9;0;0;4;0;true;22673342;1;7050936;14400;0;0
150;320;4;9;0;0;4;0;true;22742942;1;7074036;14400;0;0
160;320;4;9;0;0;4;0;true;22847342;1;7108686;14400;0;0
80;320;5;9;0;0;4;0;true;22151341;1;8423422;57600;0;0
80;320;10;9;0;0;4;0;true;22151356;1;7170527;14400;0;0
90;320;10;9;0;0;4;0;true;22238356;1;7211027;14400;0;0
100;320;10;9;0;0;4;0;true;22325356;1;7248402;14400;0;0
80;320;4;9;1;0;4;0;true;22151342;2;6760457;14400;0;0
90;320;4;9;1;0;4;0;true;22220942;2;6783557;14400;0;0
100;320;4;9;1;0;4;0;true;22325342;2;6818207;14400;0;0
110;320;4;9;1;0;4;0;true;22394942;2;6841307;14400;0;0
120;320;4;9;1;0;4;0;true;22499342;2;6875957;14400;0;0
80;320;5;9;1;0;4;0;true;22151341;2;8252193;14400;0;0
80;320;10;9;1;0;4;0;true;22151356;2;7033457;6289440;0;0
90;320;10;9;1;0;4;0;true;22238356;2;7073957;6289440;0;0
100;320;10;9;1;0;4;0;true;22325356;2;7111332;172800;0;0
80;320;1;12;1;0;4;0;true;29529761;2;24984412;32;0;0
90;320;1;12;1;0;4;0;true;29616761;2;25071412;32;0;0
100;320;1;12;1;0;4;0;true;29703761;2;25158412;32;0;0
110;320;1;12;1;0;4;0;true;29790761;2;25245412;32;0;0
120;320;1;12;1;0;4;0;true;29877761;2;25332412;32;0;0
130;320;1;12;1;0;4;0;true;29964761;2;25419412;32;0;0
140;320;1;12;1;0;4;0;true;30051761;2;25506412;32;0;0
150;320;1;12;1;0;4;0;true;30138761;2;25593412;32;0;0
160;320;1;12;1;0;4;0;true;30225761;2;25680412;32;0;0
80;320;4;9;0;1;4;0;true;22151342;2;6579087;44484;0;0
140;320;4;9;0;1;4;0;true;22673342;2;6697137;14400;0;0
80;320;5;9;0;1;4;0;true;22151341;2;8124823;44484;0;0
80;320;10;9;0;1;4;0;true;22151356;2;6867247;6059040;0;0
90;320;10;9;0;1;4;0;true;22238356;2;6907747;6149760;0;0
100;320;10;9;0;1;4;0;true;22325356;2;6937027;6624960;0;0
80;320;4;9;1;1;4;0;true;22151342;3;6461857;57600;0;0
80;320;5;9;1;1;4;0;true;22151341;3;7953593;44480;0;0
110;320;5;9;1;1;4;0;true;22412341;3;8000993;4;0;0
80;320;10;9;1;1;4;0;true;22151356;3;6734859;6653760;0;0
90;320;5;12;1;1;4;0;true;29616761;3;10578140;4;0;0
80;320;4;9;0;0;5;0;true;34610883;1;5502156;14400;0;0
90;320;4;9;0;0;5;0;true;34719630;1;5520636;14400;0;0
100;320;4;9;0;0;5;0;true;34882755;1;5548356;14400;0;0
110;320;4;9;0;0;5;0;true;34991506;1;5566836;14400;0;0
120;320;4;9;0;0;5;0;true;35154630;1;5594556;14400;0;0
130;320;4;9;0;0;5;0;true;35263381;1;5613036;14400;0;0
140;320;4;9;0;0;5;0;true;35426506;1;5640756;14400;0;0
150;320;4;9;0;0;5;0;true;35535257;1;5659236;14400;0;0
160;320;4;9;0;0;5;0;true;35698381;1;5686956;14400;0;0
80;320;5;9;0;0;5;0;true;34610848;1;6738741;57600;0;0
80;320;10;9;0;0;5;0;true;34610883;1;5736424;14400;0;0
90;320;10;9;0;0;5;0;true;34746817;1;5768824;14400;0;0
100;320;10;9;0;0;5;0;true;34882761;1;5798724;14400;0;0
80;320;4;9;1;0;5;0;true;34610883;2;5408552;14400;0;0
90;320;4;9;1;0;5;0;true;34719630;2;5427032;14400;0;0
100;320;4;9;1;0;5;0;true;34882755;2;5454752;14400;0;0
110;320;4;9;1;0;5;0;true;34991506;2;5473232;14400;0;0
120;320;4;9;1;0;5;0;true;35154630;2;5500952;14400;0;0
80;320;5;9;1;0;5;0;true;34610848;2;6601937;14400;0;0
80;320;10;9;1;0;5;0;true;34610883;2;5626769;6289440;0;0
90;320;10;9;1;0;5;0;true;34746817;2;5659169;6289440;0;0
100;320;10;9;1;0;5;0;true;34882761;2;5689069;172800;0;0
