nKeypointsMaxUser;image_width;parallelismLevel;AspectRatioDenominator;delayRead;delayDisplay;NumeratorFrequency;imgDouble;Schedulability;Energy;Latency;DurationII;Memory;AskedCuts;AskedPrecuts
90;320;1;9;1;0;4;0;true;22238327;2;18999539;4824032;0;0
80;320;4;9;1;0;4;0;true;22151342;2;6760457;6807984;0;0
90;320;4;9;1;0;4;0;true;22220942;2;6783557;6807984;0;0
100;320;4;9;1;0;4;0;true;22325342;2;6818207;6807984;0;0
110;320;4;9;1;0;4;0;true;22394942;2;6841307;6807984;0;0
80;320;5;9;1;0;4;0;true;22151341;2;8252193;6509280;0;0
80;320;10;9;1;0;4;0;true;22151356;2;7033457;6289440;0;0
90;320;10;9;1;0;4;0;true;22238356;2;7073957;6289440;0;0
100;320;10;9;1;0;4;0;true;22325356;2;7111332;6116640;0;0
80;320;1;9;0;1;4;0;true;22151327;2;19001166;4363264;0;0
90;320;1;9;0;1;4;0;true;22238327;2;19078966;4363264;0;0
100;320;1;9;0;1;4;0;true;22325327;2;19156766;4363264;0;0
110;320;1;9;0;1;4;0;true;22412327;2;19234566;4363264;0;0
80;320;4;9;0;1;4;0;true;22151342;2;6579087;6264384;0;0
140;320;4;9;0;1;4;0;true;22673342;2;6697137;5803584;0;0
80;320;5;9;0;1;4;0;true;22151341;2;8124823;6624480;0;0
100;320;5;9;0;1;4;0;true;22325341;2;8156423;6336480;0;0
110;320;5;9;0;1;4;0;true;22412341;2;8172223;6278880;0;0
150;320;5;9;0;1;4;0;true;22760341;2;8235423;5803680;0;0
80;320;10;9;0;1;4;0;true;22151356;2;6867247;6059040;0;0
90;320;10;9;0;1;4;0;true;22238356;2;6907747;6149760;0;0
100;320;10;9;0;1;4;0;true;22325356;2;6937027;6624960;0;0
110;320;10;9;0;1;4;0;true;22412356;2;6952827;6059040;0;0
80;320;1;12;0;1;4;0;true;29529761;2;25127414;2040032;0;0
90;320;1;12;0;1;4;0;true;29616761;2;25205214;2040032;0;0
100;320;1;12;0;1;4;0;true;29703761;2;25283014;2040032;0;0
110;320;1;12;0;1;4;0;true;29790761;2;25360814;2040032;0;0
120;320;1;12;0;1;4;0;true;29877761;2;25438614;2040032;0;0
80;320;1;9;1;1;4;0;true;22151327;3;18613939;1512032;0;0
90;320;1;9;1;1;4;0;true;22238327;3;18691739;1512032;0;0
100;320;1;9;1;1;4;0;true;22325327;3;18769539;1512032;0;0
110;320;1;9;1;1;4;0;true;22412327;3;18847339;4766432;0;0
