nKeypointsMaxUser;image_width;parallelismLevel;AspectRatioDenominator;delayRead;delayDisplay;NumeratorFrequency;imgDouble;Schedulability;Power;Latency;DurationII;Memory;AskedCuts;AskedPrecuts
140;640;4;12;0;0;3;0;true;66070577;1;47804073;307200;0;0
150;640;4;12;0;0;3;0;true;66109728;1;47834873;307200;0;0
160;640;4;12;0;0;3;0;true;66168452;1;47881073;307200;0;0
80;320;5;12;0;0;3;0;true;16610926;1;14886045;8208480;0;0
90;320;5;12;0;0;3;0;true;16659865;1;14919379;8208480;0;0
100;320;5;12;0;0;3;0;true;16708804;1;14952713;8208480;0;0
110;320;5;12;0;0;3;0;true;16757737;1;14986045;8208480;0;0
120;320;5;12;0;0;3;0;true;16806676;1;15019379;8208480;0;0
130;320;5;12;0;0;3;0;true;16855615;1;15052713;8208480;0;0
140;320;5;12;0;0;3;0;true;16904554;1;15086045;8208480;0;0
150;320;5;12;0;0;3;0;true;16953487;1;15119379;8208480;0;0
160;320;5;12;0;0;3;0;true;17002426;1;15152713;8208480;0;0
80;640;5;12;0;0;3;0;true;65776966;1;58744078;307200;0;0
90;640;5;12;0;0;3;0;true;65825905;1;58777412;307200;0;0
100;640;5;12;0;0;3;0;true;65874844;1;58810746;307200;0;0
110;640;5;12;0;0;3;0;true;65923777;1;58844078;307200;0;0
120;640;5;12;0;0;3;0;true;65972716;1;58877412;307200;0;0
130;640;5;12;0;0;3;0;true;66021655;1;58910746;307200;0;0
140;640;5;12;0;0;3;0;true;66070594;1;58944078;307200;0;0
150;640;5;12;0;0;3;0;true;66119527;1;58977412;307200;0;0
160;640;5;12;0;0;3;0;true;66168466;1;59010746;307200;0;0
80;320;10;12;0;0;3;0;true;16610946;1;12625556;76800;0;0
90;320;10;12;0;0;3;0;true;16659880;1;12657556;76800;0;0
100;320;10;12;0;0;3;0;true;16708824;1;12711555;76800;0;0
110;320;10;12;0;0;3;0;true;16757757;1;12765557;76800;0;0
120;320;10;12;0;0;3;0;true;16806701;1;12819556;76800;0;0
130;320;10;12;0;0;3;0;true;16855635;1;12873555;76800;0;0
140;320;10;12;0;0;3;0;true;16904569;1;12908223;76800;0;0
150;320;10;12;0;0;3;0;true;16953512;1;12941556;76800;0;0
160;320;10;12;0;0;3;0;true;17002446;1;12974889;76800;0;0
80;640;10;12;0;0;3;0;true;65777006;1;49950116;76800;0;0
90;640;10;12;0;0;3;0;true;65825940;1;49973116;76800;0;0
100;640;10;12;0;0;3;0;true;65874884;1;49996116;76800;0;0
110;640;10;12;0;0;3;0;true;65923817;1;50019116;76800;0;0
120;640;10;12;0;0;3;0;true;65972761;1;50042116;76800;0;0
130;640;10;12;0;0;3;0;true;66021695;1;50065116;76800;0;0
140;640;10;12;0;0;3;0;true;66070629;1;50088116;76800;0;0
150;640;10;12;0;0;3;0;true;66119572;1;50111116;76800;0;0
